"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>","RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>"
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","CENTRAL","50","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","258","","168","","48",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","EAST CENTRAL","60","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","80","","19",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","NORTH CENTRAL","20","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","155","","",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","NORTHEAST","30","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","81.5","","42",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","NORTHWEST","10","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","185","","166","","",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","OTHER DISTRICTS, ALL COUNTIES","98","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","182","","","","57",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","SOUTH CENTRAL","80","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","129","","27.5",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","SOUTHEAST","90","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","69.5","","17",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","SOUTHWEST","70","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","161","","41.5",""
"SURVEY","2020","YEAR","","AGRICULTURAL DISTRICT","OHIO","39","WEST CENTRAL","40","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","195","","194","","50.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","DELAWARE","041","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","159","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAIRFIELD","045","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","153","","56",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FAYETTE","047","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","204","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","FRANKLIN","049","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","182","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","KNOX","083","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","123","","50.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","LICKING","089","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","116","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MADISON","097","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","190","","52",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MARION","101","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","157","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","MORROW","117","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","140","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","OTHER (COMBINED) COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","258","","","","49",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","PICKAWAY","129","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","190","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","ROSS","141","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","147","","25.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","CENTRAL","50","UNION","159","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","171","","54",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","BELMONT","013","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","25.5","","12.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","CARROLL","019","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","51","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","COSHOCTON","031","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","97.5","","26",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","HARRISON","067","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","33.5","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","HOLMES","075","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","105","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","JEFFERSON","081","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","30.5","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","OTHER (COMBINED) COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","23",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","EAST CENTRAL","60","TUSCARAWAS","157","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","68","","24.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","ASHLAND","005","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","110","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","CRAWFORD","033","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","169","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","ERIE","043","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","154","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","HURON","077","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","156","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","LORAIN","093","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","111","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","OTTAWA","123","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","140","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","RICHLAND","139","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","150","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","SANDUSKY","143","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","153","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","SENECA","147","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","157","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTH CENTRAL","20","WYANDOT","175","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","171","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","ASHTABULA","007","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","62","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","COLUMBIANA","029","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","73.5","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","GEAUGA","055","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","36.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","MAHONING","099","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","80","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","MEDINA","103","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","72","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","OTHER (COMBINED) COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","66.5","","42.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","PORTAGE","133","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","72","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","STARK","151","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","90","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","TRUMBULL","155","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","58.5","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHEAST","30","WAYNE","169","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","119","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","ALLEN","003","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","185","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","DEFIANCE","039","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","150","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","FULTON","051","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","177","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","HANCOCK","063","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","163","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","HENRY","069","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","170","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","LUCAS","095","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","152","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","OTHER (COMBINED) COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","185","","","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","PAULDING","125","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","157","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","PUTNAM","137","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","155","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","VAN WERT","161","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","179","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","WILLIAMS","171","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","148","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","NORTHWEST","10","WOOD","173","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","169","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","ADAMS","001","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","104","","34",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","BROWN","015","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","127","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","GALLIA","053","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","72","","21.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","HIGHLAND","071","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","146","","37",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","OTHER (COMBINED) COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","50","","27.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","PIKE","131","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","141","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTH CENTRAL","80","SCIOTO","145","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","78","","45",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","ATHENS","009","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","60","","15",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","GUERNSEY","059","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","42","","13",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","MEIGS","105","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","48.5","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","MONROE","111","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","46","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","MORGAN","115","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","43.5","","18",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","MUSKINGUM","119","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","84.5","","19.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","NOBLE","121","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","26","","15",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","OTHER (COMBINED) COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","79","","18.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","PERRY","127","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","97.5","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHEAST","90","WASHINGTON","167","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","59.5","","12",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","BUTLER","017","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","144","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","CLERMONT","025","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","36",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","CLINTON","027","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","162","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","GREENE","057","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","186","","50",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","MONTGOMERY","113","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","169","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","OTHER (COMBINED) COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","135","","40.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","PREBLE","135","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","180","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","SOUTHWEST","70","WARREN","165","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","120","","38.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","AUGLAIZE","011","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","205","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","CHAMPAIGN","021","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","191","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","CLARK","023","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","192","","43.5",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","DARKE","037","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","210","","57",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","HARDIN","065","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","187","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","LOGAN","091","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","175","","53",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","MERCER","107","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","208","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","MIAMI","109","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","177","","",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","OTHER (COMBINED) COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","195","","","","51",""
"SURVEY","2020","YEAR","","COUNTY","OHIO","39","WEST CENTRAL","40","SHELBY","149","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","201","","",""
"SURVEY","2020","YEAR","","STATE","OHIO","39","","","","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","190","","156","","26",""
